# Time since Start (s)	Non-Conservative Translational Work (J)	Non-Conservative Rotational Work (J)	Work from Gravity-Gradient Torque (J)	Work from Aspherical Earth Potential (J)	Work from Sun Acceleration (J)	Work from Moon Acceleration (J)	Earth Potential Energy (J)	Sun Potential (J)	Moon Potential (J)
0.000000	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-4.3673532929597766e+11	-8.7869193958309661e+03	-3.0320975202919144e+04
1.000000	-1.2067555319859068e-01	2.1273556110106808e-06	4.6546566837543039e-04	-1.1828823895078528e+01	-1.4484928896227675e+01	-1.5410946539828281e+01	-4.3673585717999402e+11	-8.7724299387800693e+03	-3.0305543618405500e+04
2.000000	-2.4190470509800344e-01	4.1586300250333928e-06	1.8310015959272961e-03	-1.2340609462115317e+03	-2.8999487228287837e+01	-3.0918459345647122e+01	-4.3673638425928345e+11	-8.7579108511283539e+03	-3.0290015366126179e+04
3.000000	-3.6348822889462379e-01	6.0620216921953919e-06	4.0821053052351262e-03	-3.6667106817057524e+03	-4.3543611549749350e+01	-4.6522473242040434e+01	-4.3673691053325787e+11	-8.7433621963340138e+03	-3.0274390511344645e+04
4.000000	-4.8516708253151253e-01	7.7999863563720939e-06	7.1948407847002589e-03	-7.3097870717440137e+03	-5.8117238284222125e+01	-6.2222922644884179e+01	-4.3673743600133276e+11	-8.7287840379852478e+03	-3.0258669119733502e+04
5.000000	-6.0667737315982762e-01	9.3337705906820662e-06	1.1136092674620481e-02	-1.2163293884064118e+04	-7.2720303725635745e+01	-7.8019741561606168e+01	-4.3673796066292664e+11	-8.7141764397999250e+03	-3.0242851257374263e+04
6.000000	-7.2774326687207169e-01	1.0624752931069543e-05	1.5863917901468075e-02	-1.8227229612578663e+04	-8.7352744038518438e+01	-9.3912863591447447e+01	-4.3673848451746185e+11	-8.6995394656253065e+03	-3.0226936990757007e+04
7.000000	-8.4805513580319147e-01	1.1635528927303538e-05	2.1327991078647690e-02	-2.5501587477184781e+04	-1.0201449525827678e+02	-1.0990222192572526e+02	-4.3673900756436462e+11	-8.6848731794378054e+03	-3.0210926386780153e+04
8.000000	-9.6729246412684378e-01	1.2330967252332561e-05	2.7470139009301880e-02	-3.3986355423606648e+04	-1.1670549329147588e+02	-1.2598774934809785e+02	-4.3673952980306378e+11	-8.6701776453426683e+03	-3.0194819512750277e+04
9.000000	-1.0851364574525613e+00	1.2678826483810008e-05	3.4224958689774265e-02	-4.3681516123254303e+04	-1.3142567391612019e+02	-1.4216937823483065e+02	-4.3674005123299249e+11	-8.6554529275737150e+03	-3.0178616436381722e+04
10.000000	-1.2012711529181908e+00	1.2650203652039191e-05	4.1520512330599106e-02	-5.4587046973113320e+04	-1.4617497278193491e+02	-1.5844704055506440e+02	-4.3674057185358710e+11	-8.6406990904930317e+03	-3.0162317225796429e+04
10.100000	-1.2127786711108623e+00	1.2625631951672394e-05	4.2276861951796973e-02	-5.5744169388766655e+04	-1.4765150169047453e+02	-1.6008008599460126e+02	-4.3674062386957935e+11	-8.6392225179509696e+03	-3.0160684006977379e+04
